image brand freq
1 1 82
2 1 96
3 1 72
4 1 101
5 1 66
6 1 6
7 1 47
8 1 1
9 1 16
10 1 60
11 1 137
12 1 49
13 1 3
14 1 24
15 1 96
16 1 27
17 1 1
18 1 22
19 1 48
20 1 13
21 1 23
22 1 19
23 1 3
1 2 78
2 2 9
3 2 111
4 2 30
5 2 24
6 2 6
7 2 33
8 2 11
9 2 9
10 2 7
11 2 35
12 2 10
13 2 2
14 2 44
15 2 23
16 2 21
17 2 18
18 2 32
19 2 26
20 2 14
21 2 17
22 2 19
23 2 32
1 3 12
2 3 0
3 3 30
4 3 1
5 3 14
6 3 137
7 3 14
8 3 78
9 3 69
10 3 1
11 3 6
12 3 7
13 3 144
14 3 9
15 3 2
16 3 4
17 3 32
18 3 24
19 3 27
20 3 33
21 3 72
22 3 104
23 3 42
1 4 16
2 4 3
3 4 13
4 4 0
5 4 7
6 4 93
7 4 15
8 4 99
9 4 55
10 4 2
11 4 4
12 4 17
13 4 92
14 4 5
15 4 3
16 4 4
17 4 32
18 4 22
19 4 23
20 4 46
21 4 56
22 4 73
23 4 73
1 5 76
2 5 119
3 5 20
4 5 1
5 5 9
6 5 3
7 5 65
8 5 15
9 5 10
10 5 107
11 5 47
12 5 26
13 5 0
14 5 9
15 5 73
16 5 25
17 5 21
18 5 20
19 5 18
20 5 8
21 5 7
22 5 7
23 5 23
1 6 110
2 6 11
3 6 22
4 6 53
5 6 76
6 6 4
7 6 43
8 6 15
9 6 31
10 6 5
11 6 50
12 6 10
13 6 1
14 6 23
15 6 12
16 6 96
17 6 8
18 6 20
19 6 25
20 6 43
21 6 10
22 6 32
23 6 15
